surface,city,rooms,bathrooms,parking,pool,vue_panoramique,jardin,climatisation,chauffage_central,ascenseur,price
114.0,Cite Ennasr 1,3.0,1.0,1,0,0,0,1,1,1,360000.0
140.0,La Goulette,3.0,2.0,1,0,1,0,1,1,1,720000.0
163.0,Sidi Salah,3.0,3.0,1,0,1,0,1,1,1,120000.0
109.0,Jardins de Carthage,2.0,2.0,1,1,0,0,1,1,0,724000.0
56.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,192000.0
110.0,Republique,3.0,1.0,0,0,0,0,0,0,0,220000.0
130.0,El Aouina,3.0,1.0,0,0,0,0,0,1,0,360000.0
144.0,Cite El Ghazala 1,3.0,1.0,1,0,0,0,1,1,1,335000.0
60.0,Cite Ennasr 2,1.0,1.0,1,0,0,0,1,1,0,149999.0
50.0,Cite Ennasr 2,1.0,1.0,0,0,0,0,0,1,1,155000.0
59.0,Riadh Landlous,1.0,1.0,1,0,0,0,1,1,0,185000.0
189.0,Cite Ennasr 2,3.0,2.0,1,0,0,1,1,1,0,475000.0
45.0,Jardins d'el Menzah,1.0,1.0,0,0,0,0,0,1,1,170000.0
106.0,Ain Zaghouan,2.0,1.0,1,0,0,0,0,1,1,250000.0
140.0,Borj Louzir,3.0,1.0,0,0,0,0,0,1,0,135000.0
157.0,Cite Ennasr 2,3.0,2.0,0,0,0,0,0,1,1,350000.0
148.0,El Aouina,3.0,2.0,1,0,0,0,1,1,1,340000.0
140.0,Marsa Safsaf,3.0,1.0,0,0,0,0,0,0,0,690000.0
66.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,175000.0
131.0,Ain Zaghouan,2.0,1.0,0,0,0,0,1,1,0,486000.0
148.0,Ain Zaghouan,3.0,3.0,1,0,0,0,1,1,0,585000.0
121.0,Cite Erriadh,2.0,2.0,1,0,0,0,1,1,0,520000.0
106.0,Ksar Said,2.0,2.0,1,0,0,0,0,0,0,160000.0
65.0,Cite Ennasr 2,1.0,1.0,1,0,0,0,0,0,0,150000.0
131.0,La Soukra,2.0,1.0,1,1,0,0,1,1,1,430000.0
70.0,Jardins de Carthage,1.0,1.0,0,0,0,0,1,1,1,320000.0
95.0,Hedi Chaker,2.0,2.0,0,0,0,0,0,1,1,240000.0
145.0,Ain Zaghouan,2.0,2.0,1,0,0,0,1,1,1,680000.0
93.0,Habib Thameur,2.0,1.0,0,0,0,0,1,1,0,290000.0
106.0,Denden,2.0,1.0,0,0,0,0,0,0,0,50000.0
140.0,La Mannouba,3.0,1.0,1,0,0,0,0,1,1,265000.0
140.0,La Mannouba,3.0,1.0,0,0,0,0,0,0,1,240000.0
36.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,145000.0
66.0,Bab El Khadra,1.0,1.0,0,0,0,0,0,0,0,75000.0
106.0,El Aouina,2.0,1.0,1,0,0,0,1,1,1,255000.0
140.0,Le Kram,3.0,2.0,1,0,0,0,1,1,1,350000.0
106.0,El Aouina,2.0,1.0,1,0,0,0,1,1,1,255000.0
41.0,Ain Zaghouan,0.0,1.0,0,0,0,0,0,0,0,120000.0
106.0,Le Bardo,2.0,1.0,0,0,0,0,0,0,0,150000.0
105.0,La Soukra,3.0,1.0,1,0,0,0,0,1,0,450000.0
106.0,Bab Bhar,2.0,1.0,0,0,0,0,0,0,0,150000.0
106.0,Jardins de Carthage,2.0,1.0,1,0,0,0,1,1,1,320000.0
66.0,El Aouina,1.0,1.0,0,0,0,0,1,1,1,175000.0
140.0,Salambo,3.0,2.0,0,0,0,0,0,0,0,550000.0
140.0,Berge Du Lac,3.0,2.0,1,0,0,0,1,1,1,900000.0
105.0,Borj Louzir,2.0,1.0,0,0,0,0,0,1,1,220000.0
90.0,El Manar 1,3.0,1.0,0,0,0,0,0,1,0,305000.0
140.0,El Manar 2,3.0,1.0,0,0,1,0,0,1,0,310000.0
146.0,La Soukra,2.0,2.0,1,1,0,1,1,1,1,750000.0
140.0,El Menzah 9,3.0,2.0,0,0,1,0,0,1,0,260000.0
70.0,Jardins de Carthage,1.0,1.0,1,0,0,0,1,1,1,320000.0
66.0,La Soukra,1.0,1.0,0,0,0,0,0,0,0,180000.0
118.0,El Aouina,2.0,1.0,1,0,0,0,0,1,1,280000.0
106.0,La Soukra,2.0,1.0,1,0,0,0,1,1,0,360000.0
78.0,El Aouina,2.0,2.0,0,0,0,0,0,1,1,275000.0
85.0,Ain Zaghouan,1.0,1.0,1,0,0,0,0,1,1,250000.0
106.0,Cite El Behi Ladghem,2.0,1.0,1,0,0,0,0,0,0,105000.0
157.0,El Aouina,3.0,3.0,1,0,0,0,1,1,1,575000.0
140.0,Borj Louzir,3.0,1.0,0,0,0,0,0,0,0,85000.0
163.0,Ain Zaghouan,3.0,3.0,1,1,0,0,1,1,1,734000.0
135.0,El Menzah 8,3.0,1.0,0,0,0,0,0,0,0,450000.0
140.0,La Mannouba,3.0,1.0,0,0,0,0,0,0,0,275000.0
135.0,Cite Ennasr 1,3.0,2.0,0,0,0,1,1,1,0,510000.0
72.0,Jardins de Carthage,1.0,1.0,1,0,0,0,0,1,1,320000.0
140.0,El Manar 1,3.0,2.0,1,0,0,0,0,1,1,235000.0
100.0,Sidi Salah,2.0,3.0,0,0,0,0,1,1,0,190000.0
50.0,Berge Du Lac,1.0,1.0,1,0,0,0,1,1,1,330000.0
140.0,Ain Zaghouan,2.0,2.0,1,0,0,0,0,1,0,410000.0
106.0,Ain Zaghouan,2.0,1.0,1,0,0,0,1,1,1,280000.0
177.0,Ain Zaghouan,2.0,2.0,1,1,0,0,1,1,1,675000.0
95.0,Hedi Chaker,2.0,2.0,0,0,0,0,0,1,0,247000.0
140.0,Berge Du Lac,3.0,2.0,1,0,0,0,1,1,1,900000.0
175.0,Gammart,3.0,2.0,1,0,0,0,0,0,0,490000.0
