category,room_count,bathroom_count,size,type,price,city,region,log_price
Appartements,3.0,1.0,65.0,À Vendre,95000.0,Ariana,Ghazela,4.977723605288848
Appartements,2.0,1.0,130.0,À Vendre,320000.0,Ariana,La Soukra,5.505149978319906
Appartements,3.0,3.0,153.0,À Vendre,350000.0,Ariana,Autres villes,5.544068044350276
Appartements,4.0,1.0,100.0,À Vendre,280000.0,Ariana,Ennasr,5.447158031342219
Appartements,1.0,1.0,55.0,À Vendre,145000.0,Ariana,Jardins D'el Menzah,5.161368002234975
Appartements,2.0,1.0,130.0,À Vendre,280000.0,Ariana,Jardins D'el Menzah,5.447158031342219
Appartements,4.0,3.0,300.0,À Vendre,390000.0,Ariana,Raoued,5.5910646070265
Appartements,2.0,2.0,121.0,À Vendre,328000.0,Ariana,La Soukra,5.515873843711679
Appartements,1.0,1.0,64.0,À Vendre,161000.0,Ariana,Ariana Ville,5.20682587603185
Appartements,2.0,2.0,132.0,À Vendre,300000.0,Ariana,La Soukra,5.477121254719663
Appartements,2.0,1.0,128.0,À Vendre,237000.0,Ariana,La Soukra,5.374748346010104
Appartements,2.0,2.0,135.0,À Vendre,328000.0,Ariana,La Soukra,5.515873843711679
Appartements,2.0,2.0,146.0,À Vendre,350000.0,Ariana,Ennasr,5.544068044350276
Appartements,3.0,2.0,131.0,À Vendre,370000.0,Ariana,Ennasr,5.568201724066995
Appartements,3.0,1.0,126.0,À Vendre,330000.0,Ariana,Jardins D'el Menzah,5.518513939877887
Appartements,3.0,1.0,90.0,À Vendre,200000.0,Ariana,Mnihla,5.301029995663981
Appartements,2.0,1.0,80.0,À Vendre,125000.0,Ariana,Raoued,5.096910013008056
Appartements,2.0,1.0,75.0,À Vendre,1100000.0,Ariana,Autres villes,6.041392685158225
Appartements,3.0,2.0,190.0,À Vendre,260000.0,Ariana,Autres villes,5.414973347970818
Appartements,3.0,2.0,180.0,À Vendre,420000.0,Ariana,Autres villes,5.623249290397901
Appartements,3.0,1.0,139.0,À Vendre,245000.0,Ariana,La Soukra,5.389166084364533
